"","Item_Name","Brand","Price"
"1","Sakthi chilly powder","Sakthi Masala","
                                                    
                                                        
                                                        ₹ 255.50
                                                                                                                                                                                
                                                        ₹ 365.00
                                                    
                                                "
"2","Sakthi fish fry masala","Sakthi Masala","
                                                    
                                                        
                                                        ₹ 28.00
                                                                                                                                                                                
                                                        ₹ 40.00
                                                    
                                                "
"3","Lifree extra absorb pants m10","Lifree","
                                                    
                                                        
                                                        ₹ 370.00
                                                                                                                                                                                
                                                        ₹ 520.00
                                                    
                                                "
"4","Dove deeply nourishing hand wash","Dove","
                                                    
                                                        
                                                        ₹ 199.00
                                                                                                                                                                                
                                                        ₹ 249.00
                                                    
                                                "
"5","Rajarams groundnut sweets","Rajaram's","
                                                    
                                                        
                                                        ₹ 20.00
                                                                                                                                                                                
                                                        ₹ 40.00
                                                    
                                                "
"6","Saaral gulkand with honey 250g","saaral","
                                                    
                                                        
                                                        ₹ 132.00
                                                                                                                                                                                
                                                        ₹ 165.00
                                                    
                                                "
"7","Ritebite 7 grain choco chips cookie 55g","RITEBITE","
                                                    
                                                        
                                                        ₹ 40.00
                                                                                                                                                                                
                                                        ₹ 50.00
                                                    
                                                "
"8","Tomato nadu","Grace Fresh","
                                                    
                                                        
                                                        mrp : ₹ 25.00
                                                                                                                                                                                
                                                        mrp : ₹ 25.00
                                                    
                                                "
"9","Onion big ","Grace Fresh","
                                                    
                                                        
                                                        mrp : ₹ 46.00
                                                                                                                                                                                
                                                        mrp : ₹ 46.00
                                                    
                                                "
"10","Bangalore tomato","Grace Fresh","
                                                    
                                                        
                                                        mrp : ₹ 26.00
                                                                                                                                                                                
                                                        mrp : ₹ 26.00
                                                    
                                                "
"11","Onion small","Grace Fresh","
                                                    
                                                        
                                                        mrp : ₹ 146.00
                                                                                                                                                                                
                                                        mrp : ₹ 146.00
                                                    
                                                "
"12","Potato ","Grace Fresh","
                                                    
                                                        
                                                        mrp : ₹ 76.00
                                                                                                                                                                                
                                                        mrp : ₹ 76.00
                                                    
                                                "
"13","Guava","Grace Fresh","
                                                    
                                                        
                                                        mrp : ₹ 88.00
                                                                                                                                                                                
                                                        mrp : ₹ 88.00
                                                    
                                                "
